timestamp,open,high,low,close,volume
2019-02-26,8.3800,8.3800,8.3800,8.3800,0
2019-02-20,8.3800,8.3800,8.3800,8.3800,0
2019-02-15,8.3800,8.3800,8.3800,8.3800,0
2019-02-14,8.3800,8.3800,8.3800,8.3800,0
2019-02-13,8.3800,8.3800,8.3800,8.3800,0
2019-02-12,8.3800,8.3800,8.3800,8.3800,0
2019-02-11,8.3800,8.3800,8.3800,8.3800,0
2019-02-08,8.3800,8.3800,8.3800,8.3800,0
2019-02-07,8.3800,8.3800,8.3800,8.3800,0
2019-02-06,8.3800,8.3800,8.3800,8.3800,0
2019-02-05,5.8200,5.8200,5.8200,5.8200,0
2019-02-04,5.8200,5.8200,5.8200,5.8200,0
2019-02-01,5.8200,5.8200,5.8200,5.8200,0
2019-01-31,8.5000,8.8300,7.7650,8.3800,76189958
2019-01-30,8.4500,8.7300,8.2900,8.4900,23196515
2019-01-29,8.2500,8.3500,8.1300,8.3100,12795765
2019-01-28,8.2900,8.3400,8.1700,8.2400,8330808
2019-01-25,8.2900,8.3850,8.2100,8.3200,8426258
2019-01-24,8.3200,8.3700,8.1500,8.2200,4253576
2019-01-23,8.3700,8.4200,8.1600,8.3400,7133867
2019-01-22,8.6300,8.6300,8.3100,8.4000,9148508
2019-01-18,8.6400,8.8000,8.6300,8.6800,7357573
2019-01-17,8.5400,8.6600,8.5400,8.6100,2856737
2019-01-16,8.5400,8.6400,8.4900,8.5900,3975474
2019-01-15,8.4900,8.5400,8.4250,8.5400,3675415
2019-01-14,8.5400,8.5650,8.4000,8.4800,5912882
2019-01-11,8.5400,8.6300,8.4800,8.5900,4459888
2019-01-10,8.6000,8.6500,8.4300,8.6200,6467429
2019-01-09,8.9700,8.9700,8.4800,8.5700,11342201
2019-01-08,8.8800,8.9950,8.8200,8.9500,8911135
2019-01-07,8.7600,8.9250,8.7300,8.8300,15386023
2019-01-04,8.4700,8.8000,8.4300,8.7600,7615786
2019-01-03,8.2700,8.4600,8.1300,8.3500,6768092
2019-01-02,7.9900,8.3850,7.9900,8.3600,5123739
2018-12-31,8.1800,8.1800,7.9600,8.0900,2965878
2018-12-28,8.1200,8.1900,7.9900,8.0900,3410040
2018-12-27,8.0300,8.1000,7.8200,8.1000,7398495
2018-12-26,7.7500,8.0550,7.7327,8.0400,7753793
2018-12-24,7.6500,7.8900,7.5800,7.7200,5841670
2018-12-21,8.2900,8.2900,7.6750,7.7100,16990142
2018-12-20,8.3500,8.5000,8.1450,8.2500,8423193
2018-12-19,8.5800,8.6250,8.3300,8.3900,8463939
2018-12-18,8.6200,8.6400,8.4501,8.5600,15678663
2018-12-17,8.6200,8.7450,8.5200,8.5300,7623995
2018-12-14,8.6500,8.9200,8.5700,8.6500,14327624
2018-12-13,8.8800,8.9500,8.5900,8.7300,10385395
2018-12-12,8.8700,9.0300,8.8400,8.8700,13105126
2018-12-11,8.7800,8.9300,8.6901,8.7900,8366156
2018-12-10,8.7200,8.8000,8.5900,8.6400,4541513
2018-12-07,8.7500,8.8500,8.6000,8.7200,8289255
2018-12-06,8.4400,8.7700,8.4300,8.7700,7284644
2018-12-04,8.7700,8.8800,8.5400,8.5700,7014482
2018-12-03,8.7800,8.8050,8.4950,8.7900,8306295
2018-11-30,8.8400,8.9100,8.6700,8.6900,10054910
2018-11-29,8.6900,8.9300,8.6900,8.8700,14141413
2018-11-28,8.6400,8.7700,8.6200,8.7500,7148464
2018-11-27,8.7000,8.7900,8.5400,8.6400,9133952
2018-11-26,8.7000,8.8200,8.6000,8.7300,5173632
2018-11-23,8.4900,8.7200,8.4700,8.6200,1394733
2018-11-21,8.3000,8.6200,8.3000,8.5400,6246354
2018-11-20,8.4800,8.5100,8.2400,8.2700,8967246
2018-11-19,8.8400,8.8700,8.5700,8.5800,5210512
2018-11-16,8.9400,8.9700,8.8000,8.9100,5699749
2018-11-15,8.8500,9.0301,8.8000,9.0100,6205277
2018-11-14,8.8100,8.9400,8.7500,8.8600,4637467
2018-11-13,8.6500,8.9250,8.6200,8.7200,7417388
2018-11-12,8.7500,8.8099,8.6250,8.6600,7497439
2018-11-09,8.7500,8.8600,8.7100,8.7900,6096707
2018-11-08,8.9200,9.0000,8.7350,8.8100,6211197
2018-11-07,9.0600,9.0957,8.8050,8.9600,8508160
2018-11-06,8.6700,9.0500,8.6100,9.0200,11269646
2018-11-05,8.7000,8.7300,8.5700,8.6500,6030538
2018-11-02,8.6800,8.7400,8.5100,8.6700,4591699
2018-11-01,8.4500,8.7250,8.4300,8.6600,4743400
2018-10-31,8.4000,8.6400,8.3000,8.5000,9728042
2018-10-30,7.9350,8.3000,7.9100,8.2500,13088252
2018-10-29,8.2100,8.2950,7.8500,7.9300,9327659
2018-10-26,8.0400,8.2400,8.0000,8.0800,8811835
2018-10-25,8.0600,8.3800,8.0500,8.2100,9638049
2018-10-24,8.5200,8.7600,8.0200,8.0600,12197575
2018-10-23,8.4700,8.6900,8.3500,8.4700,9738373
2018-10-22,8.6100,8.7400,8.5300,8.6000,5591957
2018-10-19,8.9000,9.0200,8.5800,8.5800,6980953
2018-10-18,9.2300,9.3000,8.8600,8.9000,8711396
2018-10-17,9.2000,9.2800,9.1200,9.2100,4695907
2018-10-16,9.1900,9.4450,9.1500,9.1900,10509296
2018-10-15,9.0200,9.2950,8.9800,9.1200,5595402
2018-10-12,9.1100,9.1900,8.9900,9.0400,8942092
2018-10-11,8.7500,9.0800,8.7400,8.9500,9552028
2018-10-10,8.9100,9.0000,8.7300,8.8000,7375025
2018-10-09,8.9300,9.0800,8.8800,8.9800,6022934
2018-10-08,8.8500,8.9600,8.7500,8.9100,8008403
2018-10-05,8.9400,9.1200,8.6900,8.9500,13974610
2018-10-04,9.0000,9.0400,8.7975,8.9700,13780749
2018-10-03,9.0400,9.0900,8.9300,9.0600,20825460
2018-10-02,9.1400,9.2700,8.9300,8.9900,8437226
2018-10-01,9.4200,9.5000,9.1200,9.1500,14693311
2018-09-28,9.3400,9.6450,9.3300,9.5100,12057940
2018-09-27,9.2000,9.4500,9.2000,9.3900,10493162
2018-09-26,9.0000,9.4900,9.0000,9.2800,18347883
